;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Middle Gamma
522;41498;25968;2680;949;3863;1824;789;5517
523;1385701;59034;64978;37773;16671;5082;12283;66266
524;1429463;358820;25630;21750;80197;32087;71023;11353
525;1646072;49668;18201;5747;11249;11133;3520;1677
526;1546844;35154;45628;1885;10857;13675;8114;1962
527;1507362;155760;128735;70912;43428;55115;16023;29832
528;1240889;66828;16215;10627;19745;10788;4713;3670
529;1746334;90569;19353;16896;24867;11885;7408;3570
530;683881;57827;11432;21609;14312;17770;8605;3029
531;789345;60902;19623;8659;8806;13308;2390;2213
532;2270680;362114;59815;71409;55099;22030;21014;11328
533;881544;29310;7025;3093;3676;2008;2476;1354
534;1832028;105951;29806;30442;48122;67391;49122;69107
535;1002832;610251;61173;5978;5098;9571;4741;25848
536;1002832;610251;61173;5978;5098;9571;4741;25848
537;956699;176756;39056;17551;15720;11469;9504;21909
538;23578;21439;11031;2119;6139;3922;1444;4329
539;1063323;53884;8918;29797;14612;13446;8429;14759
540;224047;64947;8848;5332;2057;1736;2575;5477
541;1016792;206039;64923;123227;78899;32917;40580;126008
542;287160;22854;3075;3746;4032;4039;1154;12600
543;287160;22854;3075;3746;4032;4039;1154;12600
544;230459;61879;5104;14219;11376;9023;4678;23247
545;289245;91937;15625;13119;12585;8750;6751;32298
546;2126110;1053182;64903;56317;17135;34339;38625;110725
547;413591;132917;3330;7510;10596;14847;4622;39784
548;1024202;1379390;27090;76510;53876;101769;46745;185266
549;1147289;82677;38793;32522;30292;17423;38402;39199
550;1004553;148794;57845;4439;23332;25190;11845;15040
551;1213571;73209;28234;43202;8197;26701;12946;3772
552;777970;238046;44804;29688;49884;15514;5434;3907
553;1204338;64427;43641;13128;5331;8520;5161;4055
554;391576;14218;2247;1774;1089;3185;1197;611
555;816522;53719;23892;6093;21032;7256;3956;2188
556;2627825;649585;81032;62900;14950;30376;25058;52878
557;824497;61819;16987;32187;12014;8970;10638;24136
558;459303;85009;26113;23871;7161;10062;2201;43881
559;236026;118091;2945;1454;3595;1737;1698;7102
560;1664920;73626;29200;9499;12892;6202;3946;25696
561;668509;36166;7453;3391;2683;2956;1253;8473
562;68512;14177;13410;2237;2516;1639;4797;4904
563;68512;14177;13410;2237;2516;1639;4797;4904
564;491250;27128;25311;8421;9507;5982;4222;12742
565;348523;136877;20314;10261;14198;9451;3434;12832
566;12218;5663;822;310;803;579;255;670
567;363498;35289;2126;5775;863;3066;1589;2995
568;859000;114172;15287;7131;16273;8504;11270;27922
569;1146782;107415;15943;22636;11628;11439;4351;7780
570;1146782;107415;15943;22636;11628;11439;4351;7780
571;684472;1201634;45666;12991;55102;66535;20290;19648
572;557967;74259;5009;5157;2603;7858;3130;6382
573;2650038;290167;45814;43420;42216;81858;19789;13885
574;851121;306171;3721;19708;7502;7985;6550;3581
575;360007;52899;5668;3777;2850;1666;1584;464
576;1398042;163989;1607;30712;16054;13065;4847;3756
577;1051050;101056;5694;64750;3632;6534;5819;2483
578;2790422;254987;14878;167825;50521;48838;33467;8918
579;2644885;504174;26798;97137;41982;41381;20323;15093
580;449233;565363;62814;11015;9204;20753;28385;6936
581;296034;47227;23571;6119;12804;11969;4634;32991
582;661921;142944;26427;22020;11632;11006;7465;14730
583;1615010;129799;15340;7086;11858;15248;10091;48225
584;899816;141418;18775;13967;7023;6819;6487;25861
585;899816;141418;18775;13967;7023;6819;6487;25861
586;899816;141418;18775;13967;7023;6819;6487;25861
587;1484480;133678;48028;18494;8249;13394;9513;64562
588;80004;9204;2682;5191;2380;1480;881;829
589;962633;139430;11045;27143;6976;15806;8347;2201
590;962633;139430;11045;27143;6976;15806;8347;2201
591;962633;139430;11045;27143;6976;15806;8347;2201
592;952373;127538;35326;22892;13828;7061;4928;4060
593;952373;127538;35326;22892;13828;7061;4928;4060
594;952373;127538;35326;22892;13828;7061;4928;4060
595;952373;127538;35326;22892;13828;7061;4928;4060
596;952373;127538;35326;22892;13828;7061;4928;4060
597;952373;127538;35326;22892;13828;7061;4928;4060
598;1800864;237224;17893;29203;9875;20612;10050;16026
599;339968;69213;19865;13771;4817;7884;5532;14344
600;184781;29791;7119;22546;11606;3012;4742;1679
601;1054018;80504;2556;3860;12021;10017;2918;1659
602;363651;91074;11135;2623;10265;10547;3539;2690
603;244881;103648;1179;20765;6868;7571;7644;3268
604;886320;22115;29539;6447;6628;9096;4326;1823
605;129015;56779;12956;7630;2075;7882;4044;2233
606;129015;56779;12956;7630;2075;7882;4044;2233
607;1011556;278687;99758;103345;19910;14055;11608;5551
608;848139;98328;25958;16954;14159;8099;4867;2763
609;788909;309980;23754;119571;40777;31178;15423;7512
610;815487;319246;14764;23120;31621;30301;12961;7376
611;581979;144990;59870;37377;63045;132433;37998;32141
612;868704;30871;5395;10538;5880;6013;3048;1454
613;868704;30871;5395;10538;5880;6013;3048;1454
614;120501;133689;21001;14867;5735;16964;4045;963
615;337801;44811;1244;9237;20773;13874;2855;4402
616;1132531;157744;34059;11139;15738;19100;4026;1341
617;889215;46473;10659;9714;10067;7067;4082;2888
618;141999;141703;4152;38572;3828;12842;4719;2352
619;383088;88984;53353;35774;61768;46486;17683;9695
620;1093057;108656;12670;9556;7293;8343;3960;1273
621;200897;56125;10669;4726;1996;11399;3793;2757
622;99232;24445;2870;5247;2570;2124;1636;516
623;172393;31518;3614;3378;2630;1308;1363;740
624;921221;16082;9995;19228;2134;10405;5742;3637
625;2577103;502572;60747;35119;39598;44862;28524;6741
626;1295158;17208;49061;15097;11882;11018;5828;1445
627;69266;24554;4276;2167;1930;3352;1740;445
628;2163378;230267;11579;34573;79225;23343;48086;11785
629;1461985;139832;90985;51136;42563;37447;25967;4523
630;1026865;56449;9769;14298;4371;10754;4350;2936
631;599475;55493;18912;25885;14315;12012;4889;1825
632;775430;265407;20015;88435;55612;29956;11456;5205
633;775430;265407;20015;88435;55612;29956;11456;5205
634;59221;19357;1853;7993;5453;3223;1623;418
635;805869;96316;3747;17342;9544;22959;2583;3733
636;730133;117657;13969;23119;4397;9916;4498;2111
637;2706744;301415;65281;90001;79121;17011;20661;14244
638;1067453;196971;17071;104734;16039;53451;17617;5772
639;325127;83040;24539;7272;13712;11386;1582;997
640;325127;83040;24539;7272;13712;11386;1582;997
641;114305;16719;2057;1607;2704;1400;1983;610
642;816799;190127;32295;36423;60292;56014;20728;10041
643;1166786;195678;48920;68997;85259;28657;16323;9094
644;635702;86916;128993;78994;65861;20297;30708;10530
645;91282;22253;2655;3240;5000;1621;1113;659
646;862031;45608;28516;14498;4996;7265;4005;2679
647;2367832;101459;40790;18927;24007;42778;18231;5955
648;1345242;63589;7388;9825;5261;13439;4852;2448
649;1345011;55270;7003;103449;56239;32771;26488;14198
650;1277358;371974;4969;24278;67912;41987;13124;9381
651;469700;225970;180438;61186;48273;39579;9479;13937
652;275069;58826;5703;8555;9779;10617;3279;1412
653;1849005;211561;94549;65082;42841;32417;13567;5241
654;1773689;283312;60328;83243;55423;56213;20340;8943
655;1384535;74922;28404;87860;76601;17590;18145;4484
656;1177078;50767;8744;9315;8478;8199;4505;844
657;2455548;116498;67299;84060;91097;47040;20357;11716
658;358434;86077;6079;26084;11328;9749;3318;3357
659;915710;16346;21945;20994;23689;12757;2360;1548
660;915710;16346;21945;20994;23689;12757;2360;1548
661;857220;213206;12985;148341;30641;51171;20378;11717
662;409100;172278;107430;79532;31731;31889;7958;10256
663;989324;194125;10779;28183;7508;11859;7866;3342
664;2777480;774409;40947;59153;35644;39253;20121;7168
665;1408532;263206;77479;86042;31546;42352;11090;4556
666;1204073;53897;8724;7348;7887;7391;3282;3305
667;1204073;53897;8724;7348;7887;7391;3282;3305
668;1443169;193697;37454;15556;44695;32721;17069;9343
669;1509941;169528;40102;32338;9202;52869;15051;7588
670;503610;108234;31500;26041;64666;27475;24315;13139
671;760510;78369;25555;5879;51865;32919;19756;11968
672;1595525;259914;27238;78519;27743;26776;10802;4638
673;1070105;355476;97891;110212;24127;35305;9545;6172
674;911564;17438;27283;5479;20707;9593;12295;3461
675;98268;35762;7984;12230;5170;7836;2709;1900
676;380045;27056;6787;9301;6726;4374;4101;3195
677;2000764;51220;6155;8878;9564;7360;3002;2955
678;358966;119288;29190;58944;22042;28310;12810;10362
679;745995;74371;78679;28042;32353;32183;6981;5527
680;745995;74371;78679;28042;32353;32183;6981;5527
681;1363147;106255;24310;8646;6500;5985;4382;1621
682;1841274;100567;5831;16489;4095;9385;6838;1271
683;575381;57040;9922;11917;20892;17431;1347;1262
684;346722;77552;26299;50215;40247;39489;16652;8274
685;2094461;178414;35396;40218;44245;25540;25586;16027
686;2426696;186333;68655;83260;48613;31618;16478;4979
687;2426696;186333;68655;83260;48613;31618;16478;4979
688;1616263;398681;55263;68814;3848;30418;19996;9569
689;151596;8019;1939;2135;1834;1216;896;322
690;456353;39981;5335;22237;14455;5882;3844;2450
691;374887;270972;19918;45151;26707;53728;21197;10046
692;1882894;222032;102842;61291;5179;39937;9718;7168
693;1114482;17993;2944;5198;9097;9567;1882;1541
694;1208410;251659;51360;46640;31940;35833;13380;12153
695;1257513;300616;125255;34235;28510;41435;33283;7512
696;432248;11207;2317;575;986;2105;1260;635
697;2382068;90931;55894;86307;143413;41110;39645;11880
698;1717088;174545;32378;39543;29140;64849;15537;9003
699;993801;28421;4465;4078;10143;7548;5566;1622
700;527507;140784;31935;62141;28837;64315;14648;10029
701;1107872;116314;17032;30414;4218;10043;4874;2974
702;805303;158576;57582;54000;16261;38032;16022;6133
703;1111453;365008;47255;37654;55150;34159;21124;6096
704;320296;221420;104869;61395;31608;39846;20730;11814
705;1468404;110957;5625;4279;13500;12650;3616;4046
706;489732;66082;9687;10364;6765;5890;3759;2919
707;228929;79227;2313;24559;7165;11190;3438;2367
708;466056;132508;175212;32420;78524;37272;20415;3933
709;639222;47339;26832;10205;11192;7513;4657;1367
710;986563;40307;8394;19473;18057;8088;6747;2191
711;719781;159494;8781;11006;12848;8216;3311;3284
712;215120;15444;978;5602;2043;2136;1305;698
713;965582;45104;16926;11525;11887;6664;5352;2987
714;965582;45104;16926;11525;11887;6664;5352;2987
715;235403;3222;326;2528;2037;2201;1297;555
716;1436758;106639;1256;12241;7451;14250;4933;3385
717;1197337;181767;106299;42145;13176;37432;9674;8079
718;639982;53437;9040;19453;7744;30425;2420;1451
719;1055348;103746;11434;11128;20696;24763;8936;1613
720;633892;44844;11385;19851;10297;2331;6509;1442
721;2018109;188123;11613;69104;29322;39449;32103;19033
722;1649286;755228;54405;71377;33532;33158;23584;7637
723;1889078;189459;134648;55461;46271;47891;37739;14835
724;909070;88563;10812;28772;14608;9302;4812;2866
725;193264;110412;7210;13585;4701;8574;2913;2092
726;315972;114648;11926;18315;7564;7805;3815;1852
727;74212;2827;2734;3615;3057;2481;702;385
728;410791;38597;8902;7336;11422;7576;3753;3118
729;2453629;437655;52234;88308;44062;41024;20357;15572
730;412609;54282;2362;14646;7574;8911;5518;3804
731;824862;122503;1697;51133;11893;12074;4567;2375
732;1623318;250115;53672;24569;51979;29238;23578;7127
733;521976;11791;6790;18409;13238;5256;7762;1628
734;521976;11791;6790;18409;13238;5256;7762;1628
735;1590852;90122;50950;27972;66279;32193;10982;6243
736;3188946;357213;47614;61438;30729;23990;18233;7190
737;990890;97039;73853;67669;56965;31422;32759;8426
738;1952301;147541;26332;213238;41692;50246;29588;6198
739;1738171;540391;58498;23628;36117;27103;17934;11767
740;736727;24241;131713;37125;25933;65323;20326;6964
741;736727;24241;131713;37125;25933;65323;20326;6964
742;510776;11695;21190;26648;5986;13656;6392;2629
743;92520;54519;161;30198;6282;4204;3193;3392
744;1489126;56683;47823;105423;102063;22992;15364;7040
745;378469;208477;48748;56180;46672;51381;16723;13061
746;1927766;37449;3681;16427;11285;7862;2572;2721
747;491864;60324;837;41331;17056;3676;4121;2661
748;1318370;55389;24785;13277;7324;8205;3762;950
749;939258;94270;23794;19636;9062;19981;2777;2709
750;2204421;28905;6645;7688;7837;6536;3280;2042
751;1893037;85092;65473;26725;36963;41118;24911;7711
752;142584;139864;4997;13636;25497;5419;2696;1783
753;1559204;96544;11799;24526;13071;13952;5648;1240
754;3132824;274900;65057;12136;39302;44409;24784;10097
755;2146209;626459;1711;52825;41376;36604;12439;5128
756;802216;20867;32060;8602;12525;8172;4143;785
757;982485;77914;5912;7439;10367;7703;3767;2567
758;1060555;115804;1276;36784;24441;4230;4985;1523
759;471770;58234;123799;60779;46609;42226;14580;4167
760;260434;31183;2605;10718;3598;2369;1792;652
761;260434;31183;2605;10718;3598;2369;1792;652
762;1297693;135732;101639;66243;132754;108829;33619;13382
763;1542199;89028;45863;62706;33275;70633;16876;11019
764;110008;17509;3241;1033;1592;3467;720;334
765;796187;670695;28726;11923;29637;21132;20336;14371
766;466123;99842;8156;78130;25513;60310;16885;4237
767;355337;10532;1633;5699;6252;3682;646;533
768;355337;10532;1633;5699;6252;3682;646;533
769;1489814;334463;139532;26355;32725;30718;9451;13459
770;92837;22526;1603;6745;804;2484;1091;338
771;556482;135530;5599;14579;6800;10894;2284;1881
772;987654;500933;97409;31128;30510;56208;21535;12519
773;1030479;23527;28675;8348;1581;9557;3436;2161
774;225864;30376;4288;2163;1286;3432;929;438
775;1003258;20411;12590;7245;7898;9124;4908;2462
776;275987;200226;69002;86191;35985;26241;22247;11200
777;73331;96658;23284;11162;5764;17863;3028;1522
778;272836;31196;26349;20058;3709;6366;3789;3390
779;937724;78710;20843;50132;23195;31951;24399;4803
780;249356;5627;3199;9911;1775;4826;648;422
781;2789853;300051;39056;61624;47852;63400;12458;4301
782;1141428;169155;40831;57883;52211;81397;9386;6534
783;44142;55904;962;5110;2256;1793;1309;281
784;1404314;216163;37504;115721;37766;27890;14848;7998
785;1593726;87733;85147;113217;25905;34829;17091;15133
786;1282266;328767;15371;42668;19830;46192;16297;6024
787;482435;63492;5935;24896;8098;8047;2588;2341
788;887109;23374;15791;5984;12195;9273;7283;1672
789;1073895;662727;26524;25644;89836;54798;52886;7139
790;695932;39102;24057;6008;11583;13526;3269;1128
791;771590;115204;3023;6717;12975;19198;2936;5651
792;399029;200148;18235;3396;12906;10817;3190;1437
793;234358;103171;12052;12399;25279;16910;4429;2624
794;72497;30744;15622;10226;13342;5843;6549;734
795;604668;51178;24330;4890;11296;7238;2970;833
796;987363;114245;60717;111443;46928;51000;30816;5047
797;290207;37190;26809;6242;9093;8564;2579;1261
798;1774203;502194;73738;31690;16686;48542;8619;5017
799;712157;53981;38425;12940;14757;5160;5792;1055
800;549544;40086;21421;16813;16707;11952;5076;1293
801;1428297;73205;22614;17476;10563;8340;2425;1576
802;1079818;56285;16920;11161;4862;12467;3548;1540
803;1455164;61441;7356;10074;5149;7911;2981;1009
804;899565;33688;94999;12388;11321;25024;4138;6750
805;921876;33309;13076;21354;15752;23084;3095;1313
806;570433;9682;4926;3329;2893;1446;725;668
807;1572174;297902;9147;42380;48880;28576;26301;12038
808;766954;23463;20676;4965;4538;14341;6320;1444
809;766954;23463;20676;4965;4538;14341;6320;1444
810;303873;60927;32837;83134;39780;16964;13709;9487
811;1472230;96989;10532;6735;20049;7796;2974;1378
812;1472230;96989;10532;6735;20049;7796;2974;1378
813;110826;130500;29629;74023;50103;35504;16669;5553
814;110826;130500;29629;74023;50103;35504;16669;5553
815;110826;130500;29629;74023;50103;35504;16669;5553
816;585708;26151;21785;23544;13100;9152;2608;1785
817;58842;5141;2290;3998;1949;2537;1211;481
818;1891083;142837;62127;75330;87377;46501;17473;9819
819;874376;500193;35428;48924;22102;87693;13970;7256
820;737339;97076;10589;25183;11835;12771;6610;3857
821;486231;58438;7634;11525;12296;10163;7021;2811
822;862061;83727;3684;17300;13567;16082;6644;2335
823;734870;23401;3913;18013;4312;9447;6140;2325
824;240000;15533;3517;7180;2507;1224;1502;313
825;681590;113770;16348;24390;9519;5991;5401;2528
826;192886;27619;12548;11839;9496;6674;3082;1605
827;550249;170801;34391;58663;20717;67214;7641;5335
828;689546;292598;12367;51695;39013;18862;6120;7043
829;474956;109096;14630;32406;12080;13436;6562;1043
830;747708;39830;5105;25716;2806;5031;4189;2633
831;1462639;151901;52506;31857;42815;34032;7209;5988
832;1877994;123446;2553;16442;25038;14478;10689;2110
833;1108292;69503;10079;7481;16445;10880;4370;3718
834;1108292;69503;10079;7481;16445;10880;4370;3718
835;2617569;235431;47475;23734;44280;30819;16494;20850
836;463472;165101;42602;66653;80135;23363;12805;8089
837;247348;6247;517;1464;688;3160;780;325
838;1480930;108825;34798;1836;9067;7059;7600;3624
839;59168;3814;2731;2031;3743;2316;1058;231
840;387371;135783;6684;4175;11349;9529;5816;1884
841;387371;135783;6684;4175;11349;9529;5816;1884
842;1710318;624097;136552;36392;44867;44241;30323;6124
843;631652;130960;22869;31038;45932;37974;14819;11303
844;693703;93229;24670;2062;13497;20648;3564;650
845;693703;93229;24670;2062;13497;20648;3564;650
846;701630;63399;10553;15067;16519;11825;6095;4734
847;58440;23500;704;1134;2383;827;871;498
848;493034;40978;1735;7253;17946;18664;4483;544
849;1011684;41418;14773;24668;8488;5001;3304;1663
850;298522;112878;127163;29911;83805;57765;9256;13002
851;1507966;1094143;15284;27417;23334;56577;20186;8639
852;1185544;55422;13515;2910;11901;6877;4157;1361
853;1208839;30094;7455;34353;10416;14098;2159;1703
854;698301;58724;25228;6112;17872;8268;7280;1077
855;1416607;46053;18398;9662;11113;5971;2891;2423
856;1399830;43610;13625;6188;9862;15251;3541;1122
857;1023026;161062;32116;36789;21795;25813;19477;3951
858;665011;234020;15244;66816;31192;117301;5599;13118
859;410761;263660;44942;27417;64856;45772;7642;7804
860;84856;80928;4728;12834;16880;12144;2635;2337
861;84856;80928;4728;12834;16880;12144;2635;2337
862;927696;188332;21000;15512;23922;5608;6149;1496
863;872600;121224;58960;43631;34811;49559;31766;5672
864;823685;10577;4109;7509;3416;11104;1813;1971
865;2505011;201037;80901;23906;48458;53582;25207;7602
866;633545;179835;10116;69634;20863;17176;19023;5087
867;370426;159899;34250;53204;84950;31135;14131;2479
868;370426;159899;34250;53204;84950;31135;14131;2479
869;294791;66052;5932;8517;15413;13848;4695;1099
870;861313;77047;20777;39260;71061;24967;12285;4700
871;864835;33565;36081;8156;18838;24405;5560;3217
872;2021852;523337;36693;25049;25305;46771;16026;9730
873;1391746;149136;160710;43641;26115;44860;8084;7947
874;121337;94644;64872;57736;30127;51239;26878;4551
875;690197;66526;10969;13403;22246;5929;1722;1952
876;863511;27063;24512;28536;1612;13681;5817;3656
877;1351595;50052;6380;15341;10226;10280;8663;1086
878;389985;20578;5635;39875;6621;4270;2426;1498
879;953216;66757;74978;21933;23428;37115;11684;10608
880;394631;168760;10728;53636;48505;93241;13328;5999
881;394631;168760;10728;53636;48505;93241;13328;5999
882;863588;188400;33711;34584;54067;49785;5379;9585
883;1841275;34975;4045;13817;8784;2972;4934;2256
884;893042;60380;6505;9863;20833;3321;5949;1563
885;928784;52643;204492;48756;31517;28505;19517;4229
886;709804;103583;51156;34432;46758;24482;33018;5215
887;599680;21366;28818;26528;3765;3969;4693;3417
888;599680;21366;28818;26528;3765;3969;4693;3417
889;382887;81060;6747;13401;7711;6744;6336;2674
890;918290;24536;4094;26960;4442;5978;3160;1576
891;248772;73681;18149;52906;22387;41238;10467;3368
892;761844;56701;18097;10152;5326;11682;2581;973
893;180025;2571;164;5504;600;2857;677;361
894;115019;5235;1108;3571;1821;1871;1002;413
895;468991;59376;46203;37664;39211;22517;15311;4748
896;565371;70422;31803;6293;5653;6687;4824;3020
897;50486;132209;64960;38955;26154;22406;17329;7413
898;968152;222487;127546;34398;79023;35644;18229;9174
899;359645;21250;6580;47093;9478;3857;3440;1215
900;1047090;35682;32527;3321;9866;4357;4040;47823
901;505993;175646;19944;6331;13847;5302;5698;49539
902;2071959;376291;56895;33504;8737;45975;7711;196770
903;1440044;963167;13364;72493;24302;34738;19800;187308
904;281687;41912;21669;9691;6942;12685;2822;56575
905;281687;41912;21669;9691;6942;12685;2822;56575
906;580738;68837;18947;2775;9204;4770;1090;45901
907;178466;7546;602;1647;1013;2067;1061;12053
908;92108;25433;1624;804;2245;654;1910;10594
909;31515;7906;1763;1584;2604;2083;450;10500
910;587979;87154;6555;12722;7995;4111;3267;39552
911;1089987;654420;108693;19450;35285;56356;25115;158634
912;1089987;654420;108693;19450;35285;56356;25115;158634
913;208830;56120;8975;11153;3855;3533;7366;35219
914;1147860;157159;47693;17527;7147;4408;6360;43904
915;812376;114108;8922;8633;3649;7572;6409;39338
916;63474;27175;4432;2252;1117;1383;955;8929
917;918859;56764;6621;4872;14340;5502;2201;39640
918;726451;60912;11574;11465;1893;4410;3639;26869
919;796409;155765;56829;25558;34810;18283;19944;144984
920;781570;113493;5503;10049;8236;10584;6390;36956
921;1319184;119118;10902;9163;6414;11428;4424;36133
922;3133240;148988;36014;78802;59251;21902;23440;189044
923;650800;78561;19928;3915;22421;6556;4756;24425
924;207092;132098;2486;8016;3361;6010;3246;18075
925;181064;271588;61090;71585;6549;26511;11492;104812
926;432555;45714;31837;1436;3439;9851;3457;19416
927;146692;39959;3085;1816;1276;1720;1223;6961
928;493558;179196;28400;18129;41573;12009;6374;33471
929;2723527;159235;45418;43546;91178;43636;32751;93618
930;439236;42444;3113;2058;2257;4434;1031;7174
931;2441871;86197;4689;39708;42064;26481;22844;85105
932;2441871;86197;4689;39708;42064;26481;22844;85105
933;1648252;321054;57464;62108;67720;32537;11926;67181
934;966685;117247;38561;32936;15144;17968;4443;23933
935;819292;185824;51508;6842;16464;8903;12330;37301
936;239949;67224;20098;13345;4926;11189;2959;31388
937;663737;8371;20009;1748;2897;7453;3217;25033
938;61970;9384;2721;17930;8847;10651;4649;30712
939;61970;9384;2721;17930;8847;10651;4649;30712
940;210092;105318;2997;12249;9267;5108;3172;30554
941;791949;10949;2008;5221;5322;5626;1578;30672
942;1075808;86046;26856;22163;7189;12300;4670;27670
943;316121;66780;25619;39813;15712;40954;11116;118468
944;735021;146653;30923;8392;13370;13664;8005;144086
945;2018507;240630;21889;53281;18556;23106;15149;161660
946;575786;11138;7200;1749;2601;3172;1276;7423
947;249913;240491;3035;27029;6005;9581;3777;32535
948;2740514;77287;8628;38908;28143;19703;13528;126772
949;2733544;56943;52868;69861;39863;32765;8702;137558
950;1780876;53950;17770;7887;3837;8509;3478;34914
951;920817;104185;4270;14125;18973;8332;3787;30848
952;706107;97156;44051;11659;8206;7701;2970;37967
953;1419929;201237;32628;25792;20907;13207;5858;133201
954;298739;129442;36612;8225;2972;11654;2130;31646
955;772980;71487;15587;14117;4381;6585;4513;35201
956;2390607;418397;41799;96254;81872;40677;24963;106451
957;1770574;136470;67362;29231;39258;52409;26669;178089
958;263892;122212;9757;5842;9073;4688;2829;42044
959;1438305;543875;11348;34255;22506;20093;15831;129508
960;2015375;1106344;48745;127022;77910;15326;9280;123676
961;359892;17576;5854;780;1397;1430;531;5930
962;1053747;254356;5898;7051;12212;7684;5855;32448
963;325519;72848;8218;6593;9255;7737;1151;18902
964;640916;202098;92183;16098;34234;68497;5807;69527
965;476263;31015;18702;18751;4376;4798;3853;28721
966;476263;31015;18702;18751;4376;4798;3853;28721
967;751758;55849;18420;9760;4960;9429;7724;27488
968;713419;85150;8749;10113;7663;4281;2762;27926
969;1210612;101154;2839;2564;7095;8183;2276;28608
970;459593;85158;17643;12860;6134;5373;1831;24792
971;247206;45896;10771;6801;8128;7685;5886;33622
972;59978;8072;1603;1085;1925;599;532;6517
973;979241;198412;150535;73383;38422;13558;13624;52959
974;1414512;89130;8725;15351;14650;8066;3651;26775
975;1031328;16716;3223;2189;3596;5017;3046;17033
976;853755;45849;17127;31507;21419;14919;10714;58194
977;2705791;154909;99673;59625;49598;32485;33105;27644
978;785778;160616;17694;46992;24221;46781;9995;47122
979;207269;11407;3530;1554;2329;2727;538;3114
980;83823;6601;1674;1272;3172;1738;1120;3416
981;636844;133808;31214;42707;39765;14136;12583;45485
982;65701;12543;1144;1855;1382;1986;1433;4003
983;1142022;124193;23112;34426;56320;36702;21329;45133
984;1827060;231138;17388;24978;19009;29127;13488;52348
985;550286;51855;9744;7738;6049;6317;1228;16257
986;550286;51855;9744;7738;6049;6317;1228;16257
987;63745;122533;31913;12050;24255;39475;8705;47899
988;2128946;46948;29585;43733;25210;16958;18694;40519
989;281554;39664;68435;20807;38635;21749;13379;48590
990;320274;114190;28312;29801;9723;64679;5090;45438
991;951029;201378;14596;93786;19570;48178;4821;49891
992;422482;67207;22364;57386;48901;25371;17634;32397
993;422482;67207;22364;57386;48901;25371;17634;32397
994;1501719;222451;14576;33908;77121;34287;22007;43061
995;128216;46211;22527;8896;19863;32582;6222;64827
996;1580488;66614;31109;25275;16288;33294;18013;59381
997;1716402;220577;57788;55714;42642;19388;16606;34264
998;440531;50660;14561;8470;4893;11154;2824;14553
999;1456906;102497;151730;21663;28965;38055;12053;61476
1000;208327;25671;4618;6382;7564;5888;3866;10792
1001;1258460;53562;16131;7257;10090;4198;6029;17364
1002;1844772;84122;14802;13359;49871;32912;13331;72560
1003;248950;60755;23501;105208;36992;20856;26630;57065
1004;553009;168188;74395;20671;34383;24069;11541;42162
1005;202496;5399;3090;935;989;1753;650;2528
1006;202496;5399;3090;935;989;1753;650;2528
1007;876282;132667;80249;29385;24922;21340;71035;26910
1008;1173261;206178;43559;18408;6514;15400;10928;18942
1009;141386;131659;6849;24013;13300;6381;6763;11088
1010;551929;108692;24824;7530;2707;15991;7496;8070
1011;353089;50152;17800;3229;18616;4782;9244;14755
1012;45858;65325;52131;55215;16765;36668;14573;43608
1013;45858;65325;52131;55215;16765;36668;14573;43608
1014;296290;32938;5743;4026;4191;6085;1286;14025
1015;683969;86338;13126;26518;39195;19079;17520;54304
1016;221794;147070;19631;63903;53175;43116;10433;49616
1017;584721;17798;30735;20279;45891;34968;19015;52091
1018;112315;63690;6505;5895;5700;5552;2527;13526
1019;2379356;178021;39191;39126;17278;19167;14405;43772
1020;2261589;88119;37798;67422;90996;27474;42566;44533
1021;528470;45898;26574;31827;38952;44027;11617;64798
1022;801153;32481;84171;28221;25853;26955;16596;49138
1023;987850;68828;14993;5756;13978;3960;2399;12695
1024;1251711;17773;14737;3434;10651;8220;2299;14213
1025;35450;76860;48171;8129;37488;39749;12708;32773
1026;1315023;31798;6611;15902;4468;4207;2163;9420
1027;1588202;29021;87739;37035;32441;30109;14232;42551
1028;1255847;68964;56641;24112;33952;35808;11656;40610
1029;1682985;79733;23685;22928;79485;46446;7343;34678
1030;681635;75323;49413;26489;13419;29353;19264;52075
1031;1593717;230314;22265;22248;28391;40133;15626;51097
1032;843907;135367;2525;11906;12522;9144;6486;8894
1033;843907;135367;2525;11906;12522;9144;6486;8894
1034;1648798;196746;28680;30313;96876;17982;11522;30530
1035;856258;52743;38621;12120;27900;98729;8034;27303
1036;514132;134472;73197;54921;22287;18889;12630;34542
1037;29578;17063;4517;1346;1238;2544;1171;2034
1038;1096186;161941;30688;45425;86758;30668;24770;29935
1039;33093;82504;2885;9013;3689;9413;5082;14786
1040;33093;82504;2885;9013;3689;9413;5082;14786
1041;2213230;97575;102663;18406;71926;15646;9063;53985
1042;2546923;139746;69152;14464;19121;44210;23974;59769
1043;945655;200549;45747;42135;14924;43000;15935;20667
1044;951001;59251;42009;37864;26037;29541;21076;50865
1045;647293;89567;55717;15531;27011;23782;8800;42996
1046;246384;21653;576;18304;7793;4852;3070;10274
1047;84767;26799;5554;15435;8242;7657;2750;12326
1048;1372252;631915;95591;38261;60347;32444;22935;53185
1049;1351816;116532;30453;54454;30005;35497;12015;62905
1050;89244;118836;21918;14987;14315;9409;4372;5092
1051;644539;34209;12554;8599;8171;19083;3614;14340
