;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Middle Gamma
120;1755324;246871;107814;73411;36034;41403;17011;11319
121;1531113;353940;506884;23781;94867;87188;26666;41416
122;2947231;1649320;73892;226478;45257;27293;11754;23436
123;844891;75753;20863;16020;13967;11657;3459;12718
124;1322522;28841;20031;7421;4640;6805;2411;3366
125;1478206;117286;29480;63568;14582;27892;14801;35916
126;1341118;381875;135016;45611;16313;26188;31013;8636
127;153006;97681;2673;9441;6566;8912;2655;5058
128;54106;74495;20739;6350;4531;10175;6846;2952
129;2234645;990863;104356;156447;95049;147486;35899;61814
130;296822;16853;6736;4204;1994;3484;2130;3517
131;1253587;200820;106679;32219;15019;15485;9817;15765
132;77929;13065;11962;7092;5111;3172;4033;5154
133;1738524;106470;46192;51813;16373;20182;4916;17430
134;1192011;480006;8172;47186;29886;26693;8956;9847
135;699121;726232;211026;85102;153657;68869;53719;86271
136;978967;255194;7485;41047;13700;10441;5134;9069
137;1363927;142117;21901;25398;34788;41780;17761;104555
138;1531869;179712;6917;14432;7387;11607;4117;13458
139;791947;28730;2385;2088;2674;4752;3808;1665
140;791947;28730;2385;2088;2674;4752;3808;1665
141;301290;428092;37459;86303;10441;23224;12366;16287
142;738898;328713;24683;34608;35249;17411;12857;55871
143;295307;15230;11098;11197;4494;5040;3646;10107
144;2309437;39954;27292;150763;31321;22095;16164;29926
145;1292474;80467;33432;14136;23170;9431;6131;42634
146;458435;214378;5873;18612;25636;5005;4618;39690
147;458435;214378;5873;18612;25636;5005;4618;39690
148;167812;40697;3178;5474;13032;4926;2214;8659
149;1121935;184382;29043;6640;37343;17728;5866;31438
150;72556;33674;3451;3760;8015;4923;1840;9766
151;547066;36891;9661;2586;5602;4925;3089;8871
152;76129;170678;10385;4904;4727;4450;3401;11832
153;1576565;238961;40147;23447;12396;18851;14576;70181
154;478974;50395;1218;1941;9716;3646;2187;6562
155;397451;142866;46601;20036;36626;23733;7503;39897
156;742885;57111;62967;17720;5744;17334;11300;59368
157;406578;140620;36140;17567;27101;10150;7480;6015
158;100364;8988;216;895;372;608;445;97
159;619432;113381;45775;14141;10779;7835;3541;4473
160;619432;113381;45775;14141;10779;7835;3541;4473
161;2037279;168161;28396;14888;23713;21896;23155;12470
162;645894;27020;9632;1727;2779;3582;1179;1295
163;416500;168026;13104;5309;8159;6634;2941;2846
164;1901584;96968;21969;15492;14468;10911;14438;3731
165;1263978;273542;75462;37076;66201;35089;33459;13384
166;422002;170642;50504;16067;12453;13075;9862;3419
167;422002;170642;50504;16067;12453;13075;9862;3419
168;1246963;105070;38948;19598;15009;21302;11601;3335
169;131243;12223;246;375;400;1052;336;125
170;1518816;92476;60827;7249;16490;12544;7624;2640
171;819454;234810;53844;39859;15829;35300;16037;12936
172;477470;235956;13499;17030;26580;7985;7313;12110
173;1147388;506565;50818;30377;53174;71464;46986;22376
174;1440402;1065872;130285;87720;90053;20401;157504;151564
175;1971052;135767;14321;5035;56114;8458;2741;30145
176;281773;27489;3114;1332;5560;3616;2423;5265
177;707123;159641;18504;4183;15809;11668;5257;16947
178;5387;108397;5355;7084;2056;1911;1558;5494
179;829321;67293;47488;30924;32354;10796;5006;43074
180;1168441;48567;14149;12694;6325;13577;12319;28387
181;885174;121822;10135;15009;20371;10064;4889;42922
182;1011604;502585;201239;31232;41841;11823;13130;8066
183;886751;61391;18884;52259;40041;17550;7324;32651
184;1341624;93095;14948;15147;11406;8621;8297;13177
185;276173;145778;15371;23518;6802;3188;3104;15321
186;1304069;73231;21346;9218;14215;27290;12468;20541
187;1304069;73231;21346;9218;14215;27290;12468;20541
188;800372;118869;5144;29630;19281;11242;10949;6535
189;1122598;90568;29369;5126;5505;11184;5116;8227
190;1373336;245184;22974;5494;8735;7509;3860;9462
191;1409900;738623;91082;107591;47262;45803;11281;17859
192;567327;414792;267093;103317;47877;34982;75709;23290
193;1280303;14079;29980;27867;6595;17833;5778;3454
194;1280303;14079;29980;27867;6595;17833;5778;3454
195;1323061;24452;22136;8010;6891;4465;7976;7067
196;362653;72901;24883;3505;6632;9220;10100;9093
197;546983;98098;18556;11303;4502;9186;2561;13743
198;1190921;84967;3043;11516;4491;11678;7787;16211
199;772412;73568;22123;9281;22577;6645;8543;12744
200;166060;67994;2136;2051;1528;7506;3102;2227
201;426017;184032;42076;12390;14857;10408;9174;8592
202;870682;166970;5236;15713;3495;8066;5839;6465
203;615540;115322;7009;11936;6610;5774;6960;10023
204;1058106;134350;2400;5771;19476;15567;6328;3347
205;40199;3955;611;1247;821;651;228;224
206;62419;50475;8511;1391;5411;2595;1730;2743
207;897718;92234;25408;4531;6376;6617;6461;7497
208;844067;75888;7111;20860;9887;5280;15250;2548
209;830660;173724;14710;3534;11121;11124;10019;13634
